"word" "freq"
"exposit" "exposit" 8
"famill" "famill" 8
"féminin" "féminin" 8
"femm" "femm" 8
"fichi" "fichi" 8
"fight" "fight" 8
"fleur" "fleur" 8
"font" "font" 8
"for" "for" 8
"formulair" "formulair" 8
"fromag" "fromag" 8
"garant" "garant" 8
"indic" "indic" 8
"indiqu" "indiqu" 8
"jury" "jury" 8
"ouvr" "ouvr" 8
"permet" "permet" 8
"plan" "plan" 8
"playlist" "playlist" 8
"pompom" "pompom" 8
"préférentiel" "préférentiel" 8
"présenc" "présenc" 8
"problem" "problem" 8
"pter" "pter" 8
"publiqu" "publiqu" 8
"puisqu" "puisqu" 8
"pvdc" "pvdc" 8
"renseign" "renseign" 8
"répondr" "répondr" 8
"reprendr" "reprendr" 8
"restreint" "restreint" 8
"rhizom" "rhizom" 8
"safran" "safran" 8
"second" "second" 8
"sein" "sein" 8
"self" "self" 8
"serveur" "serveur" 8
"sportiv" "sportiv" 8
"stad" "stad" 8
"styl" "styl" 8
"system" "system" 8
"techniqu" "techniqu" 8
"ten" "ten" 8
"termin" "termin" 8
"typ" "typ" 8
"vas" "vas" 8
"venus" "venus" 8
"vill" "vill" 8
"visit" "visit" 8
"ailleur" "ailleur" 7
"amélior" "amélior" 7
"amour" "amour" 7
"android" "android" 7
"app" "app" 7
"approch" "approch" 7
"arrêt" "arrêt" 7
"aucoeurdumarch" "aucoeurdumarch" 7
"aupres" "aupres" 7
"bbq" "bbq" 7
"billet" "billet" 7
"bit" "bit" 7
"boir" "boir" 7
"boisson" "boisson" 7
"cac" "cac" 7
"camping" "camping" 7
"carott" "carott" 7
"caus" "caus" 7
"chef" "chef" 7
"cinem" "cinem" 7
"clap" "clap" 7
"classiqu" "classiqu" 7
"comutec" "comutec" 7
"consomm" "consomm" 7
"cti" "cti" 7
"dessus" "dessus" 7
"éduc" "éduc" 7
"éloquent" "éloquent" 7
"énerg" "énerg" 7
"environ" "environ" 7
"évit" "évit" 7
"financ" "financ" 7
"forêt" "forêt" 7
"gard" "gard" 7
"graphist" "graphist" 7
"guest" "guest" 7
"gueul" "gueul" 7
"herb" "herb" 7
"hous" "hous" 7
"humeur" "humeur" 7
"imag" "imag" 7
"imper" "imper" 7
"impliqu" "impliqu" 7
"impress" "impress" 7
"informat" "informat" 7
"initi" "initi" 7
"isf" "isf" 7
"lavoieduhoublon" "lavoieduhoublon" 7
"lequel" "lequel" 7
"lik" "lik" 7
"lir" "lir" 7
"logist" "logist" 7
"loin" "loin" 7
"mak" "mak" 7
"mer" "mer" 7
"mixt" "mixt" 7
"mot" "mot" 7
"musicien" "musicien" 7
"oblig" "oblig" 7
"oubli" "oubli" 7
"ouf" "ouf" 7
"oyé" "oyé" 7
"paus" "paus" 7
"payutc" "payutc" 7
"pep" "pep" 7
"perdu" "perdu" 7
"perform" "perform" 7
"piegn" "piegn" 7
"planning" "planning" 7
"pomm" "pomm" 7
"porc" "porc" 7
"possibil" "possibil" 7
"pourront" "pourront" 7
"prez" "prez" 7
"product" "product" 7
"quatr" "quatr" 7
"recherchon" "recherchon" 7
"récup" "récup" 7
"régal" "régal" 7
"renault" "renault" 7
"répons" "répons" 7
"restaur" "restaur" 7
"rivag" "rivag" 7
"saint" "saint" 7
"sélect" "sélect" 7
"sérieux" "sérieux" 7
"son" "son" 7
"spreadsheet" "spreadsheet" 7
"talent" "talent" 7
"têt" "têt" 7
"thom" "thom" 7
"top" "top" 7
"tôt" "tôt" 7
"trail" "trail" 7
"trait" "trait" 7
"trajet" "trajet" 7
"tranquill" "tranquill" 7
"travaill" "travaill" 7
"tropik" "tropik" 7
"truc" "truc" 7
"tuc" "tuc" 7
